ID,Tweet,Sentiment
67,High GST on basic items is unfair to common people.,Negative
68,The government should reduce GST on essential items.,Positive
69,Implementation of GST could have been smoother.,Negative
70,GST has simplified the tax system. It's a great move!,Neutral
71,GST has simplified the tax system. It's a great move!,Negative
72,Implementation of GST could have been smoother.,Positive
73,GST is a progressive step towards a better tax system.,Neutral
74,GST is complicated and confusing for new entrepreneurs.,Negative
75,I'm neutral about the changes in GST policies.,Negative
76,Small traders are suffering due to GST compliance issues.,Neutral
77,I'm neutral about the changes in GST policies.,Neutral
78,The GST policy will boost the economy in the long run.,Neutral
79,The new GST rates are too high for small businesses.,Negative
80,Small traders are suffering due to GST compliance issues.,Positive
81,The current GST policy is harming middle-class households.,Neutral
82,GST is a progressive step towards a better tax system.,Negative
83,GST helped streamline taxation for businesses.,Neutral
84,High GST on basic items is unfair to common people.,Neutral
85,GST is complicated and confusing for new entrepreneurs.,Positive
86,"GST reforms are good, but implementation is poor.",Neutral
87,Many small shops have shut down due to GST policies.,Negative
88,Small traders are suffering due to GST compliance issues.,Positive
89,Many small shops have shut down due to GST policies.,Neutral
90,The GST policy will boost the economy in the long run.,Neutral
91,The new GST rates are too high for small businesses.,Negative
92,I'm neutral about the changes in GST policies.,Negative
93,Implementation of GST could have been smoother.,Negative
94,GST has helped in curbing tax evasion in certain sectors.,Negative
95,GST compliance has increased transparency in taxation.,Positive
96,The current GST tax slabs need serious revisions.,Neutral
97,The revised GST slabs are a fair approach.,Neutral
98,I'm neutral about the changes in GST policies.,Positive
99,Many small shops have shut down due to GST policies.,Negative
100,The GST policy will boost the economy in the long run.,Positive
101,The GST policy will boost the economy in the long run.,Positive
102,GST has helped in curbing tax evasion in certain sectors.,Negative
103,"GST reforms are good, but implementation is poor.",Neutral
104,GST has helped in curbing tax evasion in certain sectors.,Neutral
105,I'm neutral about the changes in GST policies.,Neutral
106,"GST reforms are good, but implementation is poor.",Neutral
107,GST compliance has increased transparency in taxation.,Negative
108,The revised GST slabs are a fair approach.,Positive
109,Small traders are suffering due to GST compliance issues.,Positive
110,The government should reduce GST on essential items.,Positive
111,"Finally, a uniform tax system! Kudos to the government.",Negative
112,Small traders are suffering due to GST compliance issues.,Negative
113,The current GST policy is harming middle-class households.,Negative
114,The current GST tax slabs need serious revisions.,Neutral
115,I'm neutral about the changes in GST policies.,Negative
116,The current GST policy is harming middle-class households.,Negative
117,"Finally, a uniform tax system! Kudos to the government.",Negative
118,The revised GST slabs are a fair approach.,Neutral
119,"GST is beneficial for large companies, but not for others.",Negative
120,GST has simplified the tax system. It's a great move!,Negative
121,Many small shops have shut down due to GST policies.,Negative
122,GST helped streamline taxation for businesses.,Negative
123,The GST policy will boost the economy in the long run.,Positive
124,I'm neutral about the changes in GST policies.,Positive
125,The new GST rates are too high for small businesses.,Negative
126,The revised GST slabs are a fair approach.,Positive
127,"GST is beneficial for large companies, but not for others.",Neutral
128,GST has helped in curbing tax evasion in certain sectors.,Negative
129,The new GST rates are too high for small businesses.,Negative
130,"Finally, a uniform tax system! Kudos to the government.",Positive
131,The GST policy will boost the economy in the long run.,Neutral
132,GST has simplified the tax system. It's a great move!,Negative
133,The revised GST slabs are a fair approach.,Negative
134,"GST reforms are good, but implementation is poor.",Positive
135,GST has helped in curbing tax evasion in certain sectors.,Negative
136,GST has helped in curbing tax evasion in certain sectors.,Negative
137,Implementation of GST could have been smoother.,Negative
138,The GST policy will boost the economy in the long run.,Negative
139,"GST is beneficial for large companies, but not for others.",Neutral
140,Many small shops have shut down due to GST policies.,Positive
141,GST compliance has increased transparency in taxation.,Negative
142,I'm neutral about the changes in GST policies.,Negative
143,GST helped streamline taxation for businesses.,Positive
144,GST has helped in curbing tax evasion in certain sectors.,Positive
145,"GST is beneficial for large companies, but not for others.",Negative
146,GST has helped in curbing tax evasion in certain sectors.,Negative
147,The new GST rates are too high for small businesses.,Neutral
148,I'm neutral about the changes in GST policies.,Positive
149,The revised GST slabs are a fair approach.,Positive
150,GST has helped in curbing tax evasion in certain sectors.,Negative
151,"GST is beneficial for large companies, but not for others.",Negative
152,GST is complicated and confusing for new entrepreneurs.,Neutral
153,The government should reduce GST on essential items.,Negative
154,The revised GST slabs are a fair approach.,Neutral
155,GST is a progressive step towards a better tax system.,Positive
156,GST compliance has increased transparency in taxation.,Positive
157,GST compliance has increased transparency in taxation.,Positive
158,Implementation of GST could have been smoother.,Negative
159,GST is a progressive step towards a better tax system.,Positive
160,"Finally, a uniform tax system! Kudos to the government.",Negative
161,"GST is beneficial for large companies, but not for others.",Positive
162,I'm neutral about the changes in GST policies.,Positive
163,GST is a progressive step towards a better tax system.,Neutral
164,Implementation of GST could have been smoother.,Negative
165,The GST policy will boost the economy in the long run.,Positive
166,The current GST policy is harming middle-class households.,Positive
167,The current GST tax slabs need serious revisions.,Positive
168,I'm neutral about the changes in GST policies.,Positive
169,"GST reforms are good, but implementation is poor.",Positive
170,"GST is beneficial for large companies, but not for others.",Positive
171,The revised GST slabs are a fair approach.,Positive
172,"GST is beneficial for large companies, but not for others.",Positive
173,The government should reduce GST on essential items.,Neutral
174,GST compliance has increased transparency in taxation.,Positive
175,I'm neutral about the changes in GST policies.,Positive
176,The government should reduce GST on essential items.,Neutral
177,GST has helped in curbing tax evasion in certain sectors.,Negative
178,"Finally, a uniform tax system! Kudos to the government.",Neutral
179,The new GST rates are too high for small businesses.,Neutral
180,Small traders are suffering due to GST compliance issues.,Positive
181,GST helped streamline taxation for businesses.,Negative
182,GST is a progressive step towards a better tax system.,Positive
183,GST is complicated and confusing for new entrepreneurs.,Positive
184,GST is a progressive step towards a better tax system.,Positive
185,GST compliance has increased transparency in taxation.,Neutral
186,GST is a progressive step towards a better tax system.,Positive
187,I'm neutral about the changes in GST policies.,Neutral
188,Small traders are suffering due to GST compliance issues.,Neutral
189,Implementation of GST could have been smoother.,Negative
190,"GST is beneficial for large companies, but not for others.",Neutral
191,I'm neutral about the changes in GST policies.,Negative
192,The revised GST slabs are a fair approach.,Neutral
193,GST is a progressive step towards a better tax system.,Positive
194,High GST on basic items is unfair to common people.,Neutral
195,"GST is beneficial for large companies, but not for others.",Positive
196,The current GST policy is harming middle-class households.,Positive
197,Many small shops have shut down due to GST policies.,Positive
198,I'm neutral about the changes in GST policies.,Neutral
199,The government should reduce GST on essential items.,Positive
200,The current GST tax slabs need serious revisions.,Negative
